host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,description_length,host_about_length,bathroom,bathroom_type,host_verifications_count,amenities_count,review_scores_rating,year_host,neighbourhood_cleansed2
within an hour,100,75,TRUE,51,51,TRUE,River Valley,Central Region,1.29425,103.83903,apartment,Entire home/apt,2,1,110,21,1125,21,21,1125,1125,21,1125,22,52,82,93,4,1,0,10,10,10,10,10,8,FALSE,30,30,0,0,0.23,49,233,NA,1,Other,5,13,100,2241,Others
within an hour,93,99,FALSE,23,23,TRUE,River Valley,Central Region,1.29628,103.84074,apartment,Private room,3,2,79,2,1125,1,2,1125,1125,2,1125,8,38,68,343,13,1,0,9,9,9,9,9,8,TRUE,14,10,2,0,0.67,50,997,12,1,Private,6,30,94,1763,Others
within an hour,100,82,TRUE,14,14,TRUE,Geylang,Central Region,1.31055,103.87723,condominium,Entire home/apt,9,4,131,4,1000,4,4,1000,1000,4,1000,0,28,58,148,36,7,0,10,10,10,10,9,10,FALSE,18,18,0,0,1.84,46,999,NA,2,Other,7,24,96,565,Geylang
within an hour,100,82,TRUE,14,14,TRUE,Geylang,Central Region,1.31244,103.87895,condominium,Entire home/apt,9,5,135,4,1000,4,4,1000,1000,4,1000,1,1,1,89,34,3,0,10,10,10,10,9,9,FALSE,18,18,0,0,1.74,46,999,NA,2,Other,7,25,96,565,Geylang
within an hour,100,82,TRUE,14,14,TRUE,Geylang,Central Region,1.31255,103.87769,condominium,Entire home/apt,9,4,129,3,1000,3,3,1000,1000,3,1000,12,42,72,72,38,7,0,10,10,10,10,9,10,FALSE,18,18,0,0,1.94,46,999,NA,2,Other,7,25,96,565,Geylang
within an hour,100,82,TRUE,14,14,TRUE,Geylang,Central Region,1.31042,103.87756,condominium,Entire home/apt,9,5,135,3,1000,3,3,1000,1000,3,1000,14,44,74,74,42,10,0,10,10,10,10,9,10,FALSE,18,18,0,0,2.15,46,999,NA,2,Other,7,25,99,565,Geylang
within an hour,100,82,TRUE,14,14,TRUE,Geylang,Central Region,1.31261,103.87922,condominium,Entire home/apt,9,3,131,14,1000,14,14,1000,1000,14,1000,26,56,86,86,40,8,0,10,10,10,10,9,9,FALSE,18,18,0,0,2.06,46,999,NA,2,Other,7,24,99,565,Geylang
within an hour,100,82,TRUE,14,14,TRUE,Geylang,Central Region,1.31048,103.87918,condominium,Entire home/apt,9,3,122,3,1000,3,3,1000,1000,3,1000,14,44,74,74,31,4,2,10,10,10,10,9,9,FALSE,18,18,0,0,1.61,46,999,NA,2,Other,7,25,97,565,Geylang
within an hour,100,82,TRUE,14,14,TRUE,Geylang,Central Region,1.31088,103.87735,condominium,Entire home/apt,12,5,165,12,1000,12,12,1000,1000,12,1000,0,28,58,61,43,6,0,10,10,10,10,9,9,FALSE,18,18,0,0,2.2,43,999,NA,3,Other,7,27,98,565,Geylang
within an hour,100,82,TRUE,14,14,TRUE,Geylang,Central Region,1.31187,103.87878,condominium,Entire home/apt,12,5,155,3,1000,3,3,1000,1000,3,1000,12,42,72,158,42,8,0,10,10,10,10,9,9,FALSE,18,18,0,0,2.15,43,1000,NA,3,Other,7,28,99,565,Geylang
within an hour,100,82,TRUE,14,14,TRUE,Geylang,Central Region,1.31231,103.87892,condominium,Entire home/apt,12,5,185,12,1000,12,12,1000,1000,12,1000,0,0,27,30,37,8,0,10,10,10,10,9,9,FALSE,18,18,0,0,1.9,43,1000,NA,3,Other,7,26,99,565,Geylang
within an hour,100,82,TRUE,14,14,TRUE,Geylang,Central Region,1.31038,103.87896,condominium,Entire home/apt,12,5,179,12,1000,12,12,1000,1000,12,1000,0,28,58,61,42,9,0,10,10,10,10,9,9,FALSE,18,18,0,0,2.21,43,1000,NA,3,Other,7,26,99,565,Geylang
within an hour,100,82,TRUE,14,14,TRUE,Geylang,Central Region,1.3124,103.87948,condominium,Entire home/apt,12,5,179,12,1000,12,12,1000,1000,12,1000,0,28,58,61,46,10,0,10,10,10,10,9,9,FALSE,18,18,0,0,2.36,43,1000,NA,3,Other,7,26,99,565,Geylang
within an hour,100,98,TRUE,14,14,TRUE,Bukit Merah,Central Region,1.28448,103.83507,apartment,Entire home/apt,2,1,129,1,365,4,6,365,365,6,365,26,56,86,361,20,17,0,10,10,10,10,10,9,TRUE,9,9,0,0,1.06,50,1000,NA,1,Other,2,15,97,570,Others
