"","listing_id","nearest_stn","stn_distance","dist_centre"
"1064",19231371,"KEMBANGAN MRT STATION",481.090318893745,7543.92404122081
"1065",19258336,"KANGKAR LRT STATION",946.706686906889,11242.1514561854
"1066",19261441,"CHINATOWN MRT STATION",111.46510610476,1210.09362247685
"1067",19299883,"KANGKAR LRT STATION",104.014418187639,12236.5105897656
"1068",19323522,"KEMBANGAN MRT STATION",314.396290585323,7936.16990549529
"1069",19337115,"FORT CANNING MRT STATION",427.200786246292,1606.88936392345
"1070",19351097,"CLEMENTI MRT STATION",940.794195729743,11188.0643259452
"1071",19367655,"CLARKE QUAY MRT STATION",458.700683420784,1210.88937187136
"1072",19369423,"CHINATOWN MRT STATION",317.709077306635,1130.01965832866
"1073",19438458,"MARYMOUNT MRT STATION",1716.64141861464,8368.78700101792
"1074",19478535,"KANGKAR LRT STATION",73.2288554547615,12071.649093943
"1075",19490734,"ANG MO KIO MRT STATION",917.965092419078,9022.44183258401
"1076",19491036,"PIONEER MRT STATION",297.552265702617,18506.4506303597
"1077",19509543,"LAKESIDE MRT STATION",513.985599139696,16485.6324391068
"1078",19534648,"RAFFLES PLACE MRT STATION",274.669718232467,575.149741293229
"1079",19535251,"RAFFLES PLACE MRT STATION",201.952461558704,434.18347970883
"1080",19575817,"SOMERSET MRT STATION",482.306958147846,2654.36504598578
"1081",19575854,"SOMERSET MRT STATION",482.306958147846,2654.36504598578
"1082",19580455,"TEN MILE JUNCTION LRT STATION",133.44808140249,14746.202008934
"1083",19595322,"ORCHARD MRT STATION",40.9423843427575,2990.81296469469
"1084",19595827,"ORCHARD MRT STATION",191.109378555795,2873.59714397714
"1085",19615310,"BOON KENG MRT STATION",972.404257854872,4126.36131335713
"1086",19615505,"MOUNTBATTEN MRT STATION",453.221807911661,4250.70284961799
"1087",19619644,"SOMERSET MRT STATION",336.792903979326,1860.30198741412
"1088",19629044,"FARRER PARK MRT STATION",193.566212410096,3057.4926332383
"1089",19648215,"DOWNTOWN MRT STATION",311.606850798176,479.994380831191
"1090",19650919,"TOA PAYOH MRT STATION",986.913934965524,4281.84063824985
"1091",19652882,"DOWNTOWN MRT STATION",209.489704988584,598.669850912742
"1092",19668740,"TOA PAYOH MRT STATION",1028.87665364364,4275.72105786789
"1093",19685674,"NOVENA MRT STATION",915.292968085708,4075.1408106853
"1094",19714010,"LAKESIDE MRT STATION",267.600096661275,16291.1532827006
"1095",19720477,"ANG MO KIO MRT STATION",1456.22410757768,8752.44613230015
"1096",19746238,"KEMBANGAN MRT STATION",836.222294010874,7668.35108179673
"1097",19773174,"EUNOS MRT STATION",607.707414529625,6587.67378169096
"1098",19773521,"EUNOS MRT STATION",773.742494764208,6935.62560905363
"1099",19774490,"LAVENDER MRT STATION",279.335397578665,2840.84780178175
"1100",19774868,"ANG MO KIO MRT STATION",490.122638348294,9781.76656051092
"1101",19800389,"CLEMENTI MRT STATION",814.749272629758,11068.5383140309
"1102",19801431,"LAVENDER MRT STATION",331.025439014019,2800.29881019835
"1103",19801615,"TANJONG PAGAR MRT STATION",112.030960430858,1464.73314014829
"1104",19831199,"ROCHOR MRT STATION",402.8995255531,1948.99645670143
"1105",19832720,"CLEMENTI MRT STATION",683.967735947044,10882.4351726892
"1106",19832956,"CLEMENTI MRT STATION",724.574831990951,10610.8903587736
"1107",19834053,"PASIR PANJANG MRT STATION",602.106611910096,7377.22549793443
"1108",19847774,"CHINATOWN MRT STATION",147.01492394046,1005.65583497829
"1109",19849029,"NOVENA MRT STATION",350.236270031532,3582.1587814964
"1110",19856273,"JURONG EAST MRT STATION",1096.51513592982,13518.6484251395
"1111",19864736,"BOON KENG MRT STATION",1004.95100394704,4130.15229366692
"1112",19881239,"TELOK AYER MRT STATION",200.958532936701,833.152088824277
